offering,unit_name,building,sub_community,community,emirate,property_type,bedrooms,bathrooms,size_sqft,furnished,price_aed,previous_price_aed,price_drop_pct,price_period,agent,agency,dld_permit,listed_date,listing_reference,url
sale,Resort Island | Guaranteed ROI | Luxury Living,St. Tropez Hotel,Cote D'Azur Hotel,The World Islands,Dubai,Apartment,studio,1,406,YES,1250000,1543210,19,sell,Mario Costa,D V R C REAL ESTATE L.L.C,71102164163,2026-05-14T09:31:35Z,CGC-S-1017,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-the-world-islands-the-heart-of-europe-cote-dazur-hotel-st-tropez-hotel-89189541.html
rent,12 Cheques | Brand New | Available In September,Celadon 1,Celadon,City Walk,Dubai,Apartment,1,1,778,YES,130000,160494,19,yearly,Rami Hitti,Driven Properties,71386766570,2026-07-20T07:41:10Z,DPF-R-45091,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-city-walk-central-park-at-city-walk-celadon-celadon-1-118572481.html
rent,Stunning View | Luxury Unit | High Floor,IL Primo,Opera District,Downtown Dubai,Dubai,Penthouse,4,5,5300,PARTLY,1400000,1707317,18,yearly,Bayan Shegirova,Driven Properties,7131163250,2026-06-25T11:52:24Z,DP-R-63906,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-downtown-dubai-opera-district-il-primo-107297635.html
sale,CANAL VIEW | READY TO VIEW | HIGH FLOOR | HIGH ROI,Damac Maison Prive B,Damac Maison Prive,Business Bay,Dubai,Apartment,studio,1,453,YES,900000,1097561,18,sell,Muhammad Ahmad Rashid,TERRA NEST PROPERTIES L.L.C,7141946697,2026-07-13T13:44:02Z,MR41C4WVM75EMW8PMRPF2F49RW,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-business-bay-damac-maison-prive-damac-maison-prive-b-115492043.html
sale,Luxury Studio | High ROI | Serviced Unit,The One at Jumeirah Village Triangle,,Jumeirah Village Triangle,Dubai,Apartment,studio,1,317,YES,575000,701220,18,sell,Denis Vukaj,Allsopp & Allsopp - Motor City Sales,7136994182,2026-06-05T09:14:34Z,L-290530__FF,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-triangle-the-one-at-jumeirah-village-triangle-98688938.html
sale,1Min to Metro_Marina View_Limited Time Offer_CASH,Binghatti Luxuria,District 4,Jumeirah Village Triangle,Dubai,Apartment,studio,1,336,YES,530000,646341,18,sell,Mohamed Yassin,Daark Real Estate LLC,71868485621,2026-06-16T11:57:07Z,3S54FV2630NA55T1WWANF78824,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-triangle-district-4-binghatti-luxuria-103263845.html
rent,4BR+Maid+Storage | Highest Floor | Lagoon View,Crest Grande,Sobha Hartland,Mohammed Bin Rashid City,Dubai,Apartment,4,6,2353,NO,269999,329267,18,yearly,Shaher Ragab,AGCO PROPERTIES,71450792757,2026-06-29T08:30:12Z,agco-8267,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-mohammed-bin-rashid-city-sobha-hartland-crest-grande-109033092.html
rent,4Bed | High Floor | Corner Unit | Spacious,Crest Grande,Sobha Hartland,Mohammed Bin Rashid City,Dubai,Apartment,4,5,2156,NO,230000,280488,18,yearly,Sheeraz Sarwar,Al Furqan Properties,71450724452,2026-06-23T09:06:57Z,8GZQEEDAZNYYJ0HT237T94E3BG,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-mohammed-bin-rashid-city-sobha-hartland-crest-grande-106402481.html
sale,Brand New I 5BR Villa I Ready to Move IPLOT 6548,Al Furjan West,,Al Furjan,Dubai,Villa,5,6,6297,NO,10000000,12048193,17,sell,Mariana Kasymbekova,M C Homes Real Estate,69844413677,2026-06-02T15:26:17Z,9Y3XN3VZ8VZPRWDFGFZPJN83Y8,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-al-furjan-al-furjan-west-97402751.html
sale,Premium 5-Bedroom Villa |High ROI,Maldives 2,Maldives,DAMAC Islands,Dubai,Villa,5,6,2496,NO,2850000,3433735,17,sell,Savneet Singh,HABSTONE HOMES REAL ESTATE,69711590499,2026-07-04T07:23:28Z,Maldives2-5BR,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-damac-islands-maldives-maldives-2-111404483.html
sale,Furnished | Fully Equipped| Upgraded | Duplex,Marquise Square Tower,,Business Bay,Dubai,Duplex,1,2,854,YES,1750000,2108434,17,sell,Shadya Soraya Chagna,Platinum Square Real Estate - DMC,7132146925,2026-06-09T12:50:53Z,PSQ-S-/2026/113-WALID,https://www.propertyfinder.ae/en/plp/buy/duplex-for-sale-dubai-business-bay-marquise-square-tower-100415656.html
sale,On High Floor | Beautiful Sea View | High ROI,Oceanz by Danube,Oceanz 2,Maritime City,Dubai,Apartment,studio,1,427,YES,1200000,1445783,17,sell,Baha Eldin Amir Mahgoub,Valorem Real Estate,71558644831,2026-07-07T08:53:27Z,vlrm_oceans_sle_ofp,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-maritime-city-oceanz-by-danube-oceanz-2-112738283.html
sale,"High floor , Pure Investment Unit , Passive Income",The One at Jumeirah Village Triangle,,Jumeirah Village Triangle,Dubai,Apartment,studio,1,319,YES,1000000,1204819,17,sell,Naveen Bhalla,BELGRAVIA BAYT REAL ESTATE L.L.C,7136995870,2026-04-30T11:08:22Z,NB-108712-CH9L7G,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-triangle-the-one-at-jumeirah-village-triangle-83232190.html
sale,Prime Location | Contemporary Luxury Living,Binghatti Starlight,Dubai Healthcare City 2,Al Jaddaf,Dubai,Apartment,studio,1,448,PARTLY,750000,903614,17,sell,Emre Gogebakan,LuxLiving Real Estate,71683322579,2026-07-13T12:20:58Z,LUL-S-15547,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-al-jaddaf-dubai-healthcare-city-2-binghatti-starlight-115486089.html
sale,Prime Investment | Corner Unit | Pool View,Binghatti Elite,,Dubai Production City (IMPZ),Dubai,Apartment,studio,1,414,PARTLY,624999,753011,17,sell,Imane Bakhkhar,RED DOOR PROPERTIES L.L.C,71678461944,2026-06-18T14:20:34Z,RD-50069,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-production-city-impz-binghatti-elite-104263846.html
sale,Best Priced | High-Demand | Excellent location,JLT Cluster Z,Golf Views Seven City,Jumeirah Lake Towers,Dubai,Apartment,studio,1,415,YES,515000,620482,17,sell,Faisal Contractor  ,REMAX ZAM,71198945543,2026-07-03T13:23:10Z,FC-001-OP-S-Studio,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-z-golf-views-seven-city-110980536.html
